Days Since Jan20,date,fips,cases,CaseIncrease,CaseIncreaseLog,Predicted CaseIncreaseLog,deaths,DeathInsrease,EmergDec,GathRecomAny,GathRestrict10,GathRestrictAny,NEBusinessClose,OtherBusinessClose,PublicMask,Quarantine,RestaurantRestrict,SchoolClose,StayAtHome,EmergDecMandate,GathRecomAnyMandate,GathRestrict10Mandate,GathRestrictAnyMandate,NEBusinessCloseMandate,OtherBusinessCloseMandate,PublicMaskMandate,QuarantineMandate,RestaurantRestrictMandate,SchoolCloseMandate,StayAtHomeMandate,EmergDecStateWide,GathRecomAnyStateWide,GathRestrict10StateWide,GathRestrictAnyStateWide,NEBusinessCloseStateWide,OtherBusinessCloseStateWide,PublicMaskStateWide,QuarantineStateWide,RestaurantRestrictStateWide,SchoolCloseStateWide,StayAtHomeStateWide,Validation
121,2020-05-20,6,86125,2144,7.6704285222,7.7141226194,3514,92,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
122,2020-05-21,6,88488,2363,7.7676872772,7.5308370217,3624,110,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
123,2020-05-22,6,90801,2313,7.7463006622,7.7100621686,3690,66,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
124,2020-05-23,6,92815,2014,7.6078780733,7.7601841877,3768,78,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
125,2020-05-24,6,94743,1928,7.5642384752,7.5655602309,3790,22,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
126,2020-05-25,6,97017,2274,7.7292956743,7.3942698027,3808,18,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
127,2020-05-26,6,99925,2908,7.9752208387,7.9026795996,3859,51,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
128,2020-05-27,6,101874,1949,7.5750716995,7.9976378382,3961,102,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
129,2020-05-28,6,104071,2197,7.6948480724,7.7395491862,4042,81,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
130,2020-05-29,6,107043,2972,7.9969904058,7.7909704676,4144,102,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
131,2020-05-30,6,110100,3057,8.0251893219,8.0167684077,4214,70,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
132,2020-05-31,6,113114,3014,8.0110233792,7.8776937533,4242,28,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
133,2020-06-01,6,115643,2529,7.8355792467,8.0439209062,4287,45,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Validation
134,2020-06-02,6,118081,2438,7.79893331,8.0089131539,4360,73,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,Training
